r "24g (24g)" "48h (48h)" "48h* (48h*)" "48h (48h,48h*)" "48h* (48h,48h*)"
0.0025 0.0 0.0 0.0 0.0 0.0
0.0075 0.0 0.0020833333333333333 0.0 0.002919068817047362 0.0
0.012499999999999999 0.0020833333333333337 0.010416666666666668 0.0 0.01459534408523681 0.0
0.0175 0.002083333333333333 0.008333333333333331 0.002083333333333333 0.011676275268189446 0.00727669637984355
0.022500000000000003 0.002083333333333333 0.02083333333333333 0.008333333333333331 0.029190688170473614 0.0291067855193742
0.0275 0.0 0.025000000000000015 0.004166666666666669 0.03502882580456836 0.01455339275968711
0.0325 0.0020833333333333316 0.06041666666666661 0.004166666666666663 0.08465299569437341 0.01455339275968709
0.0375 0.010416666666666671 0.05625000000000003 0.010416666666666671 0.07881485806027881 0.03638348189921777
0.042499999999999996 0.010416666666666671 0.08333333333333337 0.008333333333333338 0.11676275268189452 0.02910678551937422
0.0475 0.012499999999999989 0.08541666666666659 0.006249999999999994 0.11968182149894173 0.021830089139530634
0.0525 0.004166666666666669 0.11250000000000006 0.010416666666666671 0.15762971612055762 0.03638348189921777
0.057499999999999996 0.02916666666666668 0.13958333333333342 0.022916666666666675 0.19557761074217336 0.08004366017827909
0.0625 0.010416666666666657 0.16874999999999984 0.033333333333333305 0.23644457418083611 0.11642714207749671
0.0675 0.024999999999999977 0.16249999999999984 0.024999999999999977 0.227687367729694 0.08732035655812254
0.0725 0.02291666666666671 0.21041666666666706 0.04166666666666675 0.29482595052178406 0.1455339275968713
0.0775 0.031249999999999972 0.23333333333333314 0.0395833333333333 0.3269357075093043 0.13825723121702735
0.0825 0.02708333333333331 0.2770833333333331 0.058333333333333286 0.38823615266729883 0.20374749863561925
0.0875 0.018750000000000034 0.345833333333334 0.06875000000000013 0.48456542362986305 0.24013098053483764
0.0925 0.031249999999999972 0.29374999999999973 0.04791666666666663 0.41158870320367763 0.16736401673640153
0.0975 0.03541666666666663 0.3854166666666663 0.05208333333333329 0.5400277311537615 0.18191740949608862
0.1025 0.03750000000000007 0.4562500000000008 0.052083333333333426 0.6392760709333735 0.18191740949608912
0.1075 0.037499999999999964 0.4687499999999996 0.06874999999999995 0.6567904838356559 0.24013098053483697
0.1125 0.04166666666666663 0.5083333333333329 0.08333333333333326 0.7122527913595557 0.2910678551937418
0.1175 0.03750000000000007 0.5875000000000011 0.05416666666666677 0.8231774064073576 0.1891941058759327
0.1225 0.05624999999999995 0.5958333333333328 0.10416666666666657 0.8348536816755447 0.36383481899217723
0.1275 0.045833333333333295 0.6562499999999994 0.07499999999999993 0.9195066773699182 0.2619610696743676
0.1325 0.05416666666666662 0.6604166666666661 0.09999999999999991 0.9253448150040129 0.34928142623249014
0.1375 0.05416666666666662 0.7374999999999994 0.09583333333333326 1.0333503612347652 0.33472803347280305
0.1425 0.054166666666666925 0.8291666666666706 0.11875000000000055 1.1617893891848556 0.41477169365108435
0.1475 0.05208333333333329 0.8645833333333326 0.12083333333333322 1.2114135590746542 0.42204839003092554
0.1525 0.07083333333333326 0.8499999999999992 0.11874999999999988 1.1909800773553225 0.414771693651082
0.1575 0.05208333333333329 0.8729166666666659 0.11874999999999988 1.2230898343428436 0.414771693651082
0.1625 0.06458333333333327 0.9291666666666659 0.12291666666666655 1.3019046924031223 0.4293250864107691
0.1675 0.07083333333333326 1.0458333333333325 0.11666666666666657 1.4653725461577745 0.4074949972712385
0.17250000000000001 0.09166666666666659 1.118749999999999 0.13541666666666655 1.5675399547544318 0.47298526468983043
0.1775 0.07083333333333366 1.0541666666666716 0.13333333333333397 1.4770488214259718 0.46570856830998947
0.1825 0.049999999999999954 1.0270833333333325 0.1395833333333332 1.4391009268043482 0.48753865744951747
0.1875 0.09583333333333326 1.1583333333333323 0.13333333333333322 1.6230022622783318 0.46570856830998686
