,time,inherent MSD,inherent MSCD,actual MSD,actual MSCD
0,1.0,0.8256464597856139,1.0114828300333625,1.2268345840953383,1.5517346692871665
1,1.2,0.9421369561200321,1.1244181573046181,1.345526718955617,1.6349854198003813
2,1.4,1.0585552764901391,1.260041704906252,1.4590691743930122,1.7580919600474738
3,1.6,1.1688174841961667,1.3864358663028702,1.5731300587904957,1.9226426948101822
4,1.8,1.27499485993146,1.5179963920944324,1.6853172272483299,1.9700495022202018
5,2.0,1.3793914666045826,1.6311169931936769,1.7861565303421465,2.0807934237644012
6,2.2,1.4778813419837113,1.7494957468192431,1.8784596248341299,2.2088239408848813
7,2.4,1.57461316786588,1.8973880925496907,1.9662130554652848,2.344763556324758
8,2.6,1.6728323661026225,2.055956639732542,2.062623761742737,2.484787075850516
9,2.8,1.7683456082332978,2.184940525708362,2.1629107139702826,2.5850386972102366
10,3.0,1.863730554095189,2.3035183436800595,2.260036804810076,2.696599758431604
11,3.2,1.9576588529930679,2.459820157920715,2.352197829995486,2.8843574597767465
12,3.4,2.0536412750630872,2.610023476000345,2.4407164751465706,3.0875485711793846
13,3.6,2.1500837556749213,2.739446679552803,2.5354793975057057,3.1897163805071123
14,3.8,2.2449385596470752,2.8706676227151404,2.630318429116149,3.294892829892314
15,4.0,2.3393024929015773,3.0075801805521327,2.7278449245422984,3.3677545710737746
16,4.2,2.4323589352285464,3.143693512732582,2.8256821382288106,3.545424016497307
17,4.4,2.5252481457190386,3.3014324964364814,2.915161978954847,3.6815689914082146
18,4.6,2.6159078465733385,3.4611904855688613,3.00674452493708,3.827013116285256
19,4.8,2.704988497408413,3.616155565914525,3.0901009010756044,4.0046701454057185
20,5.0,2.791979902090817,3.7585054127194977,3.1789118480822345,4.121511710600428
21,5.2,2.8783921303423976,3.8784430524369635,3.2659512846481085,4.2918887185590675
22,5.4,2.9619733650461506,4.011925583815542,3.3485556913509846,4.426121708604336
23,5.6,3.0426069545543526,4.125013189088512,3.428062200010464,4.530383079047001
24,5.8,3.123722693741247,4.228202729085636,3.5063281824809844,4.599614715427983
25,6.0,3.2039168238495797,4.321781481150604,3.5863201925063444,4.732252959604178
26,6.2,3.281837742232875,4.444941526150454,3.665943160342801,4.871433476990086
27,6.4,3.360524066579037,4.552511783596301,3.74553316137735,4.939571088494861
28,6.6,3.438211519410221,4.703749761477275,3.822425495691187,5.019599823084746
29,6.8,3.5161891499760287,4.817385983985154,3.8989715355678385,5.193200098289204
30,7.0,3.5925090796825825,4.9243386387039925,3.9716552334021293,5.328233534609131
31,7.2,3.66724309632804,5.004572512204233,4.042424398553972,5.422846328062069
32,7.4,3.7446713214195513,5.116536297347239,4.118347307307579,5.51403239601668
33,7.6,3.8215168977262617,5.228255629489431,4.196037052842885,5.593265235181186
34,7.8,3.898932547316452,5.363246627607317,4.276188448698927,5.715751802184612
35,8.0,3.9746107562197537,5.467580522599956,4.353374495592658,5.88534123560039
36,8.2,4.0496609803194685,5.547528359680314,4.426027026482299,5.949105452537339
37,8.4,4.124362349590222,5.615152415497849,4.500692979453123,5.986782440431965
38,8.6,4.1977962957300825,5.677854676605748,4.57707294903835,6.00755033266152
39,8.8,4.271432964658233,5.751564383992069,4.654807238819219,6.120221603814521
40,9.0,4.345629336366094,5.81361545946879,4.728884405513797,6.172128102570048
41,9.2,4.4181207095627135,5.866989601063625,4.799332253892651,6.258939935306785
42,9.4,4.487743715468854,5.891549321108496,4.863499806655735,6.279852261294953
43,9.6,4.5593232936312305,5.882555339328365,4.933948699071546,6.26426387582779
44,9.8,4.6310451876510506,5.87621472359502,5.006951817879731,6.273979550980076
45,10.0,4.70087159082878,5.883404752900867,5.075734614243417,6.313664152158665
46,10.2,4.769104940325804,5.887728915452212,5.146191488957386,6.340224037073564
47,10.4,4.837700922143835,5.848258881423619,5.2143763559437835,6.264339762880026
48,10.6,4.906639705206147,5.831941341928414,5.281387863244202,6.20040455779946
49,10.8,4.976735675092236,5.805172181013945,5.347115306621395,6.213919943479829
50,11.0,5.046556211204937,5.802487897588592,5.411977185624934,6.230699445156616
51,11.2,5.116997777620189,5.7907624352085625,5.4831488326572115,6.226359628515723
52,11.4,5.189414465256731,5.787536513457746,5.553050741476795,6.2289907369198865
53,11.6,5.263275805894512,5.795698529602517,5.627126619542594,6.237551524143289
54,11.8,5.3373731956955135,5.7717390162056255,5.700797784715415,6.159588229743201
55,12.0,5.409397230387261,5.716840766841778,5.772733353259068,6.178361050426571
56,12.2,5.484030799951781,5.668366471692047,5.848594802297414,6.114266027771471
57,12.4,5.558001197891823,5.622707460267011,5.921606276046725,6.11242800749064
58,12.6,5.631465832351875,5.55046208449557,5.993195168526896,6.032977026537147
59,12.8,5.7035133034833025,5.505428869885197,6.066764622820325,6.025457222404704
60,13.0,5.774513085075685,5.492007352592868,6.1422462030995595,6.026206231509854
61,13.2,5.847550978189216,5.461258116583019,6.218076630879298,5.985225991798864
62,13.4,5.919785359421401,5.4213807043056015,6.292029051775887,5.968989728049693
63,13.6,5.991006885748952,5.398137772174901,6.362205703985695,5.925705867929992
64,13.8,6.063244826672545,5.383732908631765,6.433754427672305,5.91605181444972
65,14.0,6.135606076841313,5.386967234368027,6.505274405909808,5.933605427192069
66,14.2,6.207891690202852,5.384248699020415,6.570025134674708,5.982866219917145
67,14.4,6.278643623617363,5.360290595800478,6.639270553123883,5.949764158487313
68,14.6,6.349555529369826,5.3609813026804245,6.7127914149383505,5.941213062265824
69,14.8,6.419940091993527,5.3508785069382965,6.78001736340777,5.86809642414865
70,15.0,6.489170530372377,5.347327543821706,6.853656035541576,5.88149164152836
71,15.2,6.559572038219184,5.3661099882800825,6.928151875539368,5.8793229338208945
72,15.4,6.629848423421163,5.403491950419311,6.992892848985677,5.862860368281946
73,15.6,6.701917434844965,5.412555438417594,7.061444078419892,5.8739857852342
74,15.8,6.773712387444571,5.461694304872684,7.137595303822988,5.893261839778865
75,16.0,6.847097955060882,5.524158258164874,7.206085341679536,5.957415506353496
76,16.2,6.919111866266914,5.547959870892838,7.278858675279484,5.980167715244086
77,16.4,6.989165364369139,5.561739247718087,7.3497145263565615,6.005270435561354
78,16.6,7.058054758044913,5.61218888828295,7.4158818816369925,6.004212893816717
79,16.8,7.129652225378681,5.655630829979276,7.4851225722533306,6.139223233182087
80,17.0,7.199193163035969,5.7396032583655705,7.55156955222114,6.2597036122898615
81,17.2,7.266218175241242,5.807805938950593,7.6239212066008575,6.32593730838641
82,17.4,7.333071015496596,5.8814794754701625,7.691973608597654,6.338247302186015
83,17.6,7.397749954555366,5.985261895425914,7.757327911213437,6.45827475152036
84,17.8,7.462083723652108,6.085432366679068,7.818620974375456,6.487403451058367
85,18.0,7.526059245253895,6.153779239069096,7.881318778078814,6.565863303593864
86,18.2,7.588906645812076,6.211124561462841,7.940942830190191,6.646660126803446
