,time,inherent MSD,inherent MSCD,actual MSD,actual MSCD
0,1.0,1.4519247100785915,0.9204531114067386,1.870773519337775,1.403215463244881
1,1.2,1.654597627613386,0.9055735737408841,2.078307111022639,1.394923143245803
2,1.4,1.839724341931304,0.9496396399108543,2.270123213021971,1.3752189142206326
3,1.6,2.024997154350098,0.9502138717598756,2.454882588578162,1.4055193008444373
4,1.8,2.204135417951637,1.0030954659221163,2.635230852650092,1.4790911516750873
5,2.0,2.377382097844101,1.0753113625416555,2.8065575095466673,1.5576988583359865
6,2.2,2.5442761170407295,1.0800367966654207,2.9738120741896523,1.5893071770428226
7,2.4,2.70663752899767,1.0308352394980487,3.1361281043956186,1.4646764874644556
8,2.6,2.865351163548464,0.996301540967666,3.298196023375629,1.4013886038760708
9,2.8,3.016241451225819,0.9953079555037924,3.4530643885571366,1.3695392474808772
10,3.0,3.16788176517289,1.0062578424060618,3.6017082453991875,1.3971559072597335
11,3.2,3.3165723899653643,1.0675329200697143,3.7509671650523795,1.505363859580785
12,3.4,3.461567819898709,1.1119676385410964,3.8948874425540283,1.6244312016431828
13,3.6,3.605623136263663,1.1297703476264154,4.033234825080522,1.6035823683962107
14,3.8,3.742363761576556,1.0270222730854344,4.171325217930459,1.4681081347359253
15,4.0,3.8751056056141393,0.9477299597975994,4.304950460319526,1.423657110581953
16,4.2,4.005688426603346,0.936187793995675,4.43050367942644,1.405738582289484
17,4.4,4.129775871900095,0.9580180260865303,4.5566968921597635,1.474430172043349
18,4.6,4.2525943421236985,0.9840941161576336,4.682668853834797,1.4840590704975904
19,4.8,4.370775847883018,0.9671494196940206,4.806230882695805,1.5016692720991907
20,5.0,4.487509647376561,0.9467975117130383,4.918225199784756,1.5400646260114472
21,5.2,4.602309203222086,0.8993028097401322,5.034735861170419,1.4810934900369508
22,5.4,4.718234352991075,0.8482730908191672,5.15060872905068,1.3640340368200796
23,5.6,4.832926270188015,0.823852961273416,5.257368507787793,1.2552957186180331
24,5.8,4.944265932577199,0.8934988166097352,5.3655869442446615,1.363161028071045
25,6.0,5.054274064097124,0.982810777881019,5.473288632565448,1.491052073926359
26,6.2,5.161491609109549,0.9961193193950696,5.576743614967524,1.5742395159115918
27,6.4,5.268569342730057,0.9220605850985009,5.6782708342560255,1.4563394608529927
28,6.6,5.374990818077042,0.903276655201858,5.784815244022386,1.415811284250536
29,6.8,5.47999401620941,0.8835430684535974,5.891363972587474,1.3740849359417402
30,7.0,5.5834479894497555,0.88664318621619,5.993150320337374,1.3632639407986467
31,7.2,5.686920407663224,0.9151923135082319,6.0959505304011925,1.4034376886187374
32,7.4,5.785879398250828,0.9442582731712915,6.196966669306466,1.4193825086625187
33,7.6,5.887514447156103,0.9953622776175166,6.299079117875972,1.4853102799011548
34,7.8,5.989316178765523,0.9781603508278472,6.396195842815484,1.4830402963968854
35,8.0,6.089066290071883,0.9458241586324688,6.49293866346995,1.445945376430144
36,8.2,6.1902634391098985,0.944462583082086,6.590864912419035,1.4596806064185148
37,8.4,6.287204006045243,0.9201751662723207,6.686740080767371,1.4199740827438836
38,8.6,6.382811002807363,0.9166812012028211,6.780155857031294,1.4117062973242815
39,8.8,6.4740314597841335,0.9605340764114643,6.866148811702156,1.4152194403304568
40,9.0,6.564654882343717,1.0395926788068452,6.9632142007260756,1.5041368084235376
41,9.2,6.657592260137975,1.0121608927944639,7.0558552361434055,1.4584326180055625
42,9.4,6.7410007947925505,0.9202686478408711,7.1416810412896785,1.3679718556953606
43,9.6,6.823021253105348,0.8584055238728463,7.22308766582201,1.3440952934169141
44,9.8,6.908331422392753,0.8980188158308228,7.305756267672192,1.3787561254588636
45,10.0,6.988514949547986,0.9865436643238433,7.377332921686566,1.3377878072905058
46,10.2,7.062119956592554,0.995601380469989,7.459015255143366,1.5293525598796764
47,10.4,7.13737199708254,0.9762268811215007,7.538280955389439,1.5438616324204248
48,10.6,7.2132856324253725,0.9498630776614237,7.613464041155211,1.5282680178386672
49,10.8,7.288920078201777,0.9061428568069668,7.687500351400281,1.5169798675213306
50,11.0,7.365912315057531,0.9020937709927913,7.772261870942397,1.4821989984278823
51,11.2,7.446473428229205,0.9025729964894954,7.852398885482092,1.4109465507621497
52,11.4,7.5279604288487745,0.9296265883433344,7.927333939865885,1.4816317608085037
53,11.6,7.608314232727238,0.962785050956298,8.003366407497948,1.5895352729035366
54,11.8,7.683790712938006,0.9607732059176463,8.073459328121155,1.516304009731275
55,12.0,7.757843917017332,0.9659952057488262,8.146716953095478,1.5468116269044856
56,12.2,7.826927861621074,1.0064080237283528,8.220157405837758,1.5841709198615626
57,12.4,7.894146693138258,1.0102692013044943,8.28347365170185,1.5625114554798485
58,12.6,7.960391121523297,0.9987776425608178,8.340981377476993,1.472873289303107
59,12.8,8.024419480783585,0.9630710052640182,8.401961336815887,1.4763678887658436
60,13.0,8.090918769762261,1.0337109197676857,8.465606727915727,1.6062249906473935
61,13.2,8.15386202276152,1.0421910333383877,8.530938599589794,1.6882915197967592
62,13.4,8.216633676762,1.0155889374253946,8.597465839130068,1.5708750447984599
63,13.6,8.27786699648039,0.9747734929998176,8.652969895273493,1.4822144256848215
64,13.8,8.338894927853977,0.9960969486269614,8.710448840448144,1.437152520874837
65,14.0,8.402695759658881,1.0035331251386859,8.768266499936432,1.5517637628030532
66,14.2,8.46146563997259,1.004477845585277,8.825412459170323,1.4296182434558646
67,14.4,8.512901260376944,0.9661205933213077,8.882860806908068,1.4062252492968035
68,14.6,8.56297692357785,0.9781958774781323,8.933802417595727,1.426678638128725
