r "24g (24g)" "48h (48h)" "48h* (48h*)"
0.0025 0.0 0.0 0.0
0.0075 0.0 0.0 0.0
0.012499999999999999 0.0 0.0 0.0
0.0175 0.0 0.00248015873015873 0.0
0.022500000000000003 0.0 0.00248015873015873 0.00248015873015873
0.0275 0.0 0.0 0.0024801587301587318
0.0325 0.0 0.004960317460317456 0.0
0.0375 0.0 0.0024801587301587318 0.0
0.042499999999999996 0.0 0.0049603174603174635 0.0024801587301587318
0.0475 0.0 0.002480158730158728 0.0
0.0525 0.0 0.009920634920634927 0.0024801587301587318
0.057499999999999996 0.0 0.0049603174603174635 0.0
0.0625 0.0 0.009920634920634911 0.0
0.0675 0.0 0.007440476190476183 0.0
0.0725 0.0 0.00992063492063494 0.0
0.0775 0.0 0.007440476190476183 0.007440476190476183
0.0825 0.0 0.014880952380952366 0.01240079365079364
0.0875 0.0 0.00992063492063494 0.0
0.0925 0.0 0.014880952380952366 0.017361111111111098
0.0975 0.0 0.02232142857142855 0.007440476190476183
0.1025 0.0 0.02480158730158735 0.00992063492063494
0.1075 0.0 0.009920634920634911 0.02232142857142855
0.1125 0.0 0.02232142857142855 0.007440476190476183
0.1175 0.0 0.02480158730158735 0.00992063492063494
0.1225 0.0 0.04960317460317456 0.014880952380952366
0.1275 0.0 0.03224206349206346 0.019841269841269823
0.1325 0.0 0.02480158730158728 0.017361111111111098
0.1375 0.0 0.034722222222222196 0.027281746031746008
0.1425 0.0 0.03224206349206364 0.01736111111111119
0.1475 0.0 0.08184523809523803 0.02232142857142855
0.1525 0.0 0.03224206349206346 0.034722222222222196
0.1575 0.0 0.07192460317460311 0.03224206349206346
0.1625 0.0 0.06448412698412692 0.029761904761904732
0.1675 0.0 0.05704365079365075 0.03720238095238092
0.17250000000000001 0.004960317460317456 0.0620039682539682 0.019841269841269823
0.1775 0.0 0.05208333333333358 0.03224206349206364
0.1825 0.0 0.06944444444444439 0.04960317460317456
0.1875 0.0 0.08432539682539675 0.0446428571428571
0.1925 0.0 0.07440476190476183 0.042162698412698374
0.1975 0.0 0.08432539682539675 0.04960317460317456
0.2025 0.004960317460317456 0.0892857142857142 0.04960317460317456
0.2075 0.0 0.10664682539682589 0.059523809523809805
0.2125 0.002480158730158728 0.08432539682539675 0.0620039682539682
0.2175 0.0 0.12896825396825384 0.05208333333333329
0.2225 0.0 0.10912698412698403 0.03720238095238092
0.2275 0.0 0.09672619047619038 0.08184523809523803
0.2325 0.0 0.1140873015873015 0.08432539682539675
0.2375 0.0049603174603174835 0.13392857142857206 0.07936507936507974
0.2425 0.0 0.16617063492063477 0.0620039682539682
0.2475 0.002480158730158728 0.17361111111111097 0.09424603174603166
0.2525 0.0 0.1686507936507935 0.11160714285714277
0.2575 0.0 0.14136904761904748 0.08432539682539675
0.2625 0.0 0.16121031746031733 0.09672619047619038
0.2675 0.004960317460317456 0.15624999999999986 0.11160714285714277
0.2725 0.002480158730158728 0.1860119047619046 0.1140873015873015
0.2775 0.0 0.1314484126984126 0.12152777777777767
0.28250000000000003 0.002480158730158728 0.2033730158730157 0.09920634920634912
0.2875 0.0 0.17609126984127166 0.10912698412698524
0.2925 0.004960317460317456 0.21577380952380934 0.16121031746031733
0.2975 0.0 0.21577380952380934 0.11656746031746021
0.3025 0.0 0.25297619047619024 0.10912698412698403
0.3075 0.0 0.21081349206349187 0.16121031746031733
0.3125 0.0 0.23809523809523786 0.17113095238095222
0.3175 0.002480158730158728 0.2480158730158728 0.1959325396825395
0.3225 0.0 0.21329365079365062 0.15376984126984114
0.3275 0.0 0.27777777777777757 0.1339285714285713
0.3325 0.004960317460317456 0.2504960317460315 0.15873015873015858
0.3375 0.004960317460317456 0.29761904761904734 0.1760912698412697
0.3425 0.007440476190476183 0.2951388888888886 0.16121031746031733
0.34750000000000003 0.004960317460317456 0.337301587301587 0.15624999999999986
0.3525 0.0024801587301587556 0.2951388888888919 0.1884920634920654
0.3575 0.002480158730158728 0.30009920634920606 0.19345238095238076
0.3625 0.0 0.33234126984126955 0.20089285714285696
0.3675 0.002480158730158728 0.3521825396825394 0.21825396825396806
0.3725 0.002480158730158728 0.3546626984126981 0.24553571428571405
0.3775 0.002480158730158728 0.3397817460317457 0.2504960317460315
0.3825 0.004960317460317456 0.4017857142857139 0.28769841269841245
0.3875 0.004960317460317456 0.3249007936507934 0.2480158730158728
0.3925 0.002480158730158728 0.36706349206349176 0.31498015873015844
0.3975 0.002480158730158728 0.38690476190476153 0.24553571428571405
0.4025 0.004960317460317456 0.4340277777777774 0.29761904761904734
0.40750000000000003 0.0 0.4513888888888885 0.2480158730158728
0.41250000000000003 0.002480158730158728 0.4365079365079361 0.23809523809523786
0.4175 0.0 0.48115079365079855 0.2976190476190506
0.4225 0.017361111111111098 0.37698412698412664 0.2926587301587299
0.4275 0.007440476190476183 0.4389880952380949 0.337301587301587
0.4325 0.007440476190476183 0.4811507936507932 0.3546626984126981
0.4375 0.009920634920634911 0.4340277777777774 0.3720238095238092
0.4425 0.007440476190476183 0.473710317460317 0.33234126984126955
0.4475 0.007440476190476183 0.538194444444444 0.34722222222222193
0.4525 0.004960317460317456 0.5778769841269836 0.33234126984126955
0.4575 0.007440476190476183 0.5257936507936504 0.337301587301587
0.4625 0.002480158730158728 0.5679563492063486 0.34722222222222193
0.4675 0.01240079365079364 0.6125992063492058 0.34722222222222193
0.47250000000000003 0.002480158730158728 0.5605158730158725 0.40426587301587263
0.4775 0.009920634920635022 0.5629960317460375 0.4042658730158772
0.4825 0.004960317460317456 0.5406746031746027 0.4811507936507932
