0.0	0
0.02	0
0.04	9
0.06	8
0.08	9
0.1	7
0.12	7
0.14	8
0.16	10
0.18	7
0.2	18
0.22	14
0.24	23
0.26	16
0.28	22
0.3	30
0.32	36
0.34	43
0.36	42
0.38	43
0.4	54
0.42	67
0.44	83
0.46	90
0.48	93
0.5	90
0.52	91
0.54	86
0.56	65
0.58	60
0.6	81
0.62	84
0.64	79
0.66	75
0.68	60
0.7000000000000001	53
0.72	71
0.74	60
0.76	62
0.78	41
0.8	32
0.8200000000000001	12
0.84	12
0.86	5
0.88	2
0.9	0
0.92	2
0.9400000000000001	1
0.96	1
0.98	2
1.0	0
1.02	2
1.04	1
1.06	0
1.08	0
1.1	0
1.12	0
1.1400000000000001	0
1.16	0
1.18	0
1.2	0
1.22	0
1.24	0
1.26	0
1.28	1
1.3	0
1.32	0
1.34	1
1.36	1
1.3800000000000001	0
1.4000000000000001	0
1.42	1
1.44	0
1.46	0
1.48	1
1.5	1
1.52	0
1.54	2
1.56	3
1.58	2
1.6	2
1.62	3
1.6400000000000001	2
1.6600000000000001	0
1.68	3
1.7	4
1.72	6
1.74	3
1.76	5
1.78	4
1.8	2
1.82	2
1.84	2
1.86	0
1.8800000000000001	0
1.9000000000000001	0
1.92	0
1.94	0
1.96	0
1.98	0
