r "24g (24g)" "48h (48h)" "48h* (48h*)"
0.0025 0.0 0.0 0.0
0.0075 0.0 0.0 0.0
0.012499999999999999 0.0 0.0 0.0
0.0175 0.0 0.0 0.0
0.022500000000000003 0.0 0.0 0.0
0.0275 0.0 0.0 0.0
0.0325 0.0 0.0 0.0
0.0375 0.0 0.0 0.0
0.042499999999999996 0.0 0.0 0.0026041666666666683
0.0475 0.0 0.0 0.0
0.0525 0.0 0.0 0.0
0.057499999999999996 0.0 0.0026041666666666683 0.0
0.0625 0.0 0.0 0.0
0.0675 0.0 0.007812499999999992 0.0026041666666666644
0.0725 0.0 0.0 0.0
0.0775 0.0 0.0 0.0
0.0825 0.0 0.0026041666666666644 0.0
0.0875 0.0 0.0026041666666666713 0.0
0.0925 0.0 0.0026041666666666644 0.0
0.0975 0.0 0.005208333333333329 0.0
0.1025 0.0 0.0026041666666666713 0.0026041666666666713
0.1075 0.0 0.0 0.0026041666666666644
0.1125 0.0 0.013020833333333322 0.005208333333333329
0.1175 0.0 0.0026041666666666713 0.005208333333333343
0.1225 0.0 0.007812499999999992 0.0026041666666666644
0.1275 0.0 0.005208333333333329 0.0
0.1325 0.0 0.010416666666666657 0.005208333333333329
0.1375 0.0 0.005208333333333329 0.0026041666666666644
0.1425 0.0 0.007812500000000036 0.007812500000000036
0.1475 0.0 0.007812499999999992 0.0
0.1525 0.0 0.010416666666666657 0.0026041666666666644
0.1575 0.0 0.005208333333333329 0.005208333333333329
0.1625 0.0 0.013020833333333322 0.005208333333333329
0.1675 0.0 0.007812499999999992 0.0026041666666666644
0.17250000000000001 0.0 0.015624999999999984 0.0026041666666666644
0.1775 0.0 0.010416666666666715 0.005208333333333357
0.1825 0.0 0.020833333333333315 0.007812499999999992
0.1875 0.0 0.01822916666666665 0.005208333333333329
0.1925 0.0 0.013020833333333322 0.010416666666666657
0.1975 0.0 0.015624999999999984 0.010416666666666657
0.2025 0.0 0.015624999999999984 0.013020833333333322
0.2075 0.0 0.02083333333333343 0.005208333333333357
0.2125 0.0 0.020833333333333315 0.015624999999999984
0.2175 0.0 0.039062499999999965 0.005208333333333329
0.2225 0.0 0.03124999999999997 0.007812499999999992
0.2275 0.0 0.026041666666666644 0.02343749999999998
0.2325 0.0 0.04947916666666662 0.013020833333333322
0.2375 0.0 0.02864583333333347 0.02083333333333343
0.2425 0.0 0.04166666666666663 0.013020833333333322
0.2475 0.0 0.0364583333333333 0.015624999999999984
0.2525 0.0 0.05468749999999995 0.015624999999999984
0.2575 0.0026041666666666644 0.0364583333333333 0.02343749999999998
0.2625 0.0 0.05468749999999995 0.026041666666666644
0.2675 0.0 0.06770833333333327 0.02343749999999998
0.2725 0.0 0.05468749999999995 0.020833333333333315
0.2775 0.0 0.04947916666666662 0.013020833333333322
0.28250000000000003 0.0 0.05989583333333329 0.015624999999999984
0.2875 0.0 0.06510416666666732 0.020833333333333547
0.2925 0.0 0.05208333333333329 0.03385416666666664
0.2975 0.0 0.09374999999999992 0.039062499999999965
0.3025 0.0 0.09114583333333325 0.026041666666666644
0.3075 0.0 0.10677083333333325 0.04687499999999996
0.3125 0.0 0.0807291666666666 0.04166666666666663
0.3175 0.0 0.1093749999999999 0.05468749999999995
0.3225 0.0 0.11197916666666657 0.0364583333333333
0.3275 0.0 0.1015624999999999 0.04687499999999996
0.3325 0.0 0.08854166666666659 0.04947916666666662
0.3375 0.0 0.1380208333333332 0.09895833333333325
0.3425 0.0 0.09374999999999992 0.05729166666666662
0.34750000000000003 0.0 0.11197916666666657 0.044270833333333294
0.3525 0.0 0.14843750000000153 0.09114583333333427
0.3575 0.0 0.13541666666666655 0.05468749999999995
0.3625 0.0 0.1536458333333332 0.0651041666666666
0.3675 0.0 0.1744791666666665 0.06249999999999994
0.3725 0.0 0.1744791666666665 0.0807291666666666
0.3775 0.0026041666666666644 0.18749999999999983 0.1093749999999999
0.3825 0.0 0.1614583333333332 0.07812499999999993
0.3875 0.0 0.20052083333333315 0.09114583333333325
0.3925 0.0 0.18749999999999983 0.12499999999999988
0.3975 0.0 0.2552083333333331 0.12760416666666655
0.4025 0.0 0.24479166666666644 0.11197916666666657
0.40750000000000003 0.0 0.2265624999999998 0.1015624999999999
0.41250000000000003 0.0 0.2526041666666664 0.10416666666666657
0.4175 0.0 0.24479166666666918 0.12760416666666796
0.4225 0.0 0.22395833333333315 0.14843749999999986
0.4275 0.0 0.21614583333333315 0.1458333333333332
0.4325 0.0 0.2916666666666664 0.1380208333333332
0.4375 0.0 0.2682291666666664 0.1614583333333332
0.4425 0.0 0.2890624999999998 0.1614583333333332
0.4475 0.0 0.2760416666666664 0.22395833333333315
0.4525 0.0 0.35156249999999967 0.1614583333333332
0.4575 0.0 0.3072916666666664 0.14322916666666655
0.4625 0.0 0.35937499999999967 0.19270833333333318
0.4675 0.0 0.3124999999999997 0.20052083333333315
0.47250000000000003 0.0026041666666666644 0.39322916666666635 0.2213541666666665
0.4775 0.0 0.37239583333333715 0.21875000000000222
0.4825 0.0 0.4401041666666663 0.22395833333333315
0.4875 0.0 0.466145833333333 0.2109374999999998
0.4925 0.0026041666666666644 0.473958333333333 0.2213541666666665
0.4975 0.0 0.442708333333333 0.2135416666666665
0.5025000000000001 0.0 0.4921874999999995 0.2838541666666664
0.5075000000000001 0.0 0.4635416666666663 0.23958333333333315
0.5125000000000001 0.0026041666666666644 0.39843749999999967 0.2838541666666664
0.5175000000000001 0.0026041666666666644 0.450520833333333 0.2604166666666664
0.5225000000000001 0.0 0.4713541666666663 0.2786458333333331
0.5275000000000001 0.0026041666666666644 0.5520833333333328 0.2265624999999998
0.5325000000000001 0.0 0.5572916666666662 0.2890624999999998
0.5375000000000001 0.0 0.5364583333333328 0.29427083333333304
0.5425000000000001 0.0026041666666666644 0.5286458333333328 0.36197916666666635
0.5475000000000001 0.0 0.5364583333333328 0.33333333333333304
0.5525000000000001 0.0 0.5468749999999996 0.380208333333333
0.5575000000000001 0.0026041666666666644 0.6015624999999994 0.4062499999999996
0.5625000000000001 0.0026041666666666644 0.6171874999999994 0.3072916666666664
0.5675000000000001 0.0 0.5677083333333328 0.35416666666666635
0.5725000000000001 0.0026041666666666644 0.6145833333333328 0.4322916666666663
0.5775 0.002604166666666722 0.7213541666666821 0.3437500000000073
0.5825 0.005208333333333329 0.6380208333333328 0.4479166666666663
0.5875 0.0026041666666666644 0.6848958333333328 0.4401041666666663
0.5925 0.0 0.6145833333333328 0.434895833333333
0.5975 0.005208333333333329 0.6796874999999994 0.4062499999999996
0.6025 0.0 0.6901041666666661 0.395833333333333
0.6075 0.0026041666666666644 0.7578124999999993 0.48958333333333287
0.6125 0.0026041666666666644 0.736979166666666 0.4999999999999995
0.6175 0.005208333333333329 0.7656249999999993 0.4999999999999995
0.6225 0.0 0.776041666666666 0.4531249999999996
0.6275000000000001 0.005208333333333329 0.8203124999999992 0.4869791666666662
0.6325000000000001 0.007812499999999992 0.7395833333333327 0.4609374999999996
0.6375000000000001 0.007812499999999992 0.791666666666666 0.4557291666666663
