r 24g 48h
0.01 0.0018601190476190475 0.020461309523809524
0.02 0.013020833333333334 0.1488095238095238
0.03 0.03906250000000001 0.3896949404761905
0.04 0.059523809523809514 0.8184523809523808
0.05 0.07998511904761903 1.2379092261904758
0.06 0.12090773809523817 1.7633928571428579
0.07 0.1581101190476189 2.3288690476190457
0.08 0.172061011904762 2.964099702380954
0.09 0.1906622023809525 3.4514508928571446
0.1 0.21670386904761885 3.8030133928571397
0.11 0.22693452380952392 4.002046130952383
0.12 0.23530505952380962 4.210379464285716
0.13 0.22879464285714265 4.210379464285711
0.14 0.25762648809523786 4.234561011904758
0.15 0.27436755952381003 4.09598214285715
0.16 0.2966889880952378 3.8895089285714253
0.17 0.2883184523809521 3.731398809523806
0.18 0.2938988095238101 3.5686383928571495
0.19 0.3106398809523807 3.4319196428571397
0.2 0.3376116071428569 3.252418154761902
0.21 0.3357514880952387 3.1612723214285774
0.22 0.3320312499999997 2.945498511904759
0.23 0.3543526785714282 2.9268973214285685
0.24 0.3794642857142865 2.583705357142862
0.25 0.39806547619047583 2.4786086309523787
0.26 0.4334077380952377 2.3484002976190457
0.27 0.4454985119047615 2.215401785714284
0.28 0.4771205357142853 2.0526413690476173
0.29 0.5691964285714312 1.85267857142858
0.3 0.606398809523809 1.6592261904761891
0.31 0.6184895833333328 1.57924107142857
0.32 0.7105654761904755 1.38392857142857
0.33 0.750558035714285 1.3169642857142847
0.34 0.8603050595238088 1.127232142857142
0.35000000000000003 0.8993675595238088 1.050967261904761
0.36 1.037016369047624 0.9402901785714329
0.37 1.1979166666666656 0.8017113095238089
0.38 1.2444196428571417 0.7728794642857136
0.39 1.347656249999999 0.6538318452380947
0.4 1.4592633928571415 0.5905877976190471
0.41000000000000003 1.5857514880952368 0.5608258928571423
0.42 1.6610863095238173 0.4938616071428594
0.43 1.762462797619046 0.4892113095238091
0.44 1.8629092261904745 0.38318452380952345
0.45 1.963355654761903 0.3934151785714282
0.46 2.079613095238093 0.36365327380952345
0.47000000000000003 2.1633184523809503 0.32645089285714257
0.48 2.1744791666666767 0.32273065476190627
0.49 2.1502976190476173 0.30226934523809496
0.5 2.140997023809522 0.3162202380952378
0.51 2.240513392857141 0.265066964285714
0.52 2.0758928571428554 0.2715773809523807
0.53 2.1354166666666647 0.23251488095238074
