r "24g (24g)" "48h (48h)" "48h* (48h*)" "48h (48h,48h*)" "48h* (48h,48h*)"
0.0025 0.0 0.0 0.0 0.0 0.0
0.0075 0.0 0.005580357142857143 0.0 0.005879125186172298 0.0
0.012499999999999999 0.0 0.005580357142857144 0.0 0.005879125186172299 0.0
0.0175 0.007440476190476189 0.018601190476190473 0.0 0.019597083953907656 0.0
0.022500000000000003 0.009300595238095236 0.014880952380952378 0.0 0.015677667163126123 0.0
0.0275 0.022321428571428586 0.018601190476190483 0.003720238095238097 0.019597083953907666 0.07320644216691073
0.0325 0.0241815476190476 0.03720238095238092 0.003720238095238092 0.03919416790781528 0.07320644216691062
0.0375 0.039062500000000014 0.06324404761904766 0.003720238095238097 0.06663008544328608 0.07320644216691073
0.042499999999999996 0.04464285714285717 0.0688244047619048 0.0018601190476190486 0.07250921062945838 0.036603221083455366
0.0475 0.039062499999999965 0.08184523809523803 0.003720238095238092 0.08622716939719363 0.07320644216691062
0.0525 0.059523809523809555 0.1339285714285715 0.0 0.14109900446813523 0.0
0.057499999999999996 0.053943452380952404 0.1413690476190477 0.009300595238095241 0.14893783804969826 0.1830161054172768
0.0625 0.0892857142857142 0.17113095238095224 0.005580357142857138 0.18029317237595033 0.10980966325036592
0.0675 0.08742559523809515 0.21391369047619027 0.007440476190476184 0.22536646546993785 0.14641288433382124
0.0725 0.08928571428571445 0.2325148809523814 0.001860119047619051 0.24496354942384618 0.036603221083455414
0.0775 0.10230654761904753 0.27901785714285693 0.00930059523809523 0.29395625930861463 0.18301610541727656
0.0825 0.14322916666666652 0.3404017857142854 0.011160714285714276 0.3586266363565099 0.21961932650073185
0.0875 0.13950892857142885 0.3162202380952387 0.01674107142857146 0.33315042721643084 0.32942898975109874
0.0925 0.1581101190476189 0.37016369047619013 0.011160714285714276 0.389981970682762 0.21961932650073185
0.0975 0.15438988095238082 0.3869047619047616 0.014880952380952368 0.40761934624127893 0.2928257686676425
0.1025 0.20833333333333373 0.46316964285714374 0.011160714285714307 0.48796739045230164 0.2196193265007325
0.1075 0.21205357142857123 0.5357142857142853 0.016741071428571414 0.56439601787254 0.3294289897510978
0.1125 0.2306547619047617 0.5431547619047614 0.013020833333333324 0.5722348514541031 0.2562225475841872
0.1175 0.2511160714285719 0.6175595238095251 0.009300595238095255 0.6506231872697356 0.1830161054172771
0.1225 0.2901785714285712 0.6677827380952376 0.013020833333333324 0.7035353139452843 0.2562225475841872
0.1275 0.24925595238095213 0.5933779761904756 0.013020833333333324 0.6251469781296537 0.2562225475841872
0.1325 0.32552083333333304 0.6696428571428567 0.013020833333333324 0.7054950223406752 0.2562225475841872
0.1375 0.37016369047619013 0.7663690476190469 0.026041666666666647 0.8073998589009949 0.5124450951683744
0.1425 0.38132440476190654 0.7682291666666702 0.013020833333333395 0.80935956729639 0.2562225475841886
0.1475 0.3962053571428568 0.8221726190476184 0.01860119047619046 0.8661911107627178 0.3660322108345531
0.1525 0.39062499999999967 0.9133184523809516 0.020461309523809507 0.9622168221368652 0.40263543191800844
0.1575 0.41666666666666635 0.9728422619047611 0.03162202380952378 1.0249274907893697 0.6222547584187402
0.1625 0.42410714285714246 0.9635416666666659 0.026041666666666647 1.0151289488124158 0.5124450951683744
0.1675 0.45386904761904723 1.0026041666666656 0.02232142857142855 1.0562828251156218 0.4392386530014637
0.17250000000000001 0.4706101190476186 1.1439732142857133 0.03348214285714283 1.20522066316532 0.6588579795021956
0.1775 0.528273809523812 1.1718750000000053 0.03534226190476207 1.2346162890961883 0.6954612005856547
0.1825 0.5561755952380948 1.129092261904761 0.03348214285714283 1.189542996002194 0.6588579795021956
0.1875 0.524553571428571 1.2593005952380942 0.052083333333333294 1.3267225836795473 1.0248901903367489
0.1925 0.5505952380952376 1.2481398809523798 0.026041666666666647 1.3149643333072027 0.5124450951683744
0.1975 0.5319940476190471 1.1941964285714275 0.027901785714285688 1.2581327898408705 0.5490483162518297
0.2025 0.569196428571428 1.3950892857142843 0.04278273809523806 1.469781296543073 0.8418740849194722
0.2075 0.6305803571428601 1.4248511904761973 0.03162202380952396 1.5011366308693337 0.6222547584187438
0.2125 0.7049851190476184 1.3913690476190463 0.04092261904761901 1.4658618797522915 0.8052708638360169
0.2175 0.6659226190476185 1.4546130952380938 0.04278273809523806 1.5324919651955775 0.8418740849194722
0.2225 0.7180059523809517 1.4174107142857129 0.035342261904761876 1.4932977972877621 0.695461200585651
0.2275 0.7161458333333327 1.5327380952380938 0.039062499999999965 1.6147997178019897 0.7686676427525616
0.2325 0.7161458333333327 1.499255952380951 0.03720238095238092 1.5795249666849558 0.7320644216691062
0.2375 0.7440476190476226 1.5048363095238166 0.04836309523809547 1.585404091871137 0.9516837481698435
0.2425 0.731026785714285 1.6276041666666654 0.026041666666666647 1.7147448459669188 0.5124450951683744
0.2475 0.7775297619047612 1.6331845238095224 0.03162202380952378 1.720623971153091 0.6222547584187402
0.2525 0.7570684523809517 1.6350446428571415 0.05952380952380947 1.7225836795484817 1.17130307467057
0.2575 0.7849702380952375 1.737351190476189 0.05952380952380947 1.8303676412949736 1.17130307467057
0.2625 0.8128720238095232 1.7987351190476175 0.06324404761904756 1.8950380183428688 1.2445095168374805
0.2675 0.8705357142857135 1.7354910714285698 0.052083333333333294 1.8284079328995828 1.0248901903367489
0.2725 0.807291666666666 1.787574404761903 0.050223214285714246 1.8832797679705242 0.9882869692532935
0.2775 0.890997023809523 1.8377976190476175 0.06324404761904756 1.936191894646075 1.2445095168374805
0.28250000000000003 0.9337797619047611 1.897321428571427 0.050223214285714246 1.9989025632985795 0.9882869692532935
0.2875 0.9319196428571523 1.7708333333333515 0.0446428571428576 1.8656423924120282 0.8784773060029373
0.2925 0.8686755952380945 1.9977678571428552 0.0688244047619047 2.1047268166496806 1.3543191800878465
0.2975 0.8630952380952372 1.9066220238095222 0.06324404761904756 2.0087011052755335 1.2445095168374805
0.3025 0.9505208333333325 1.8824404761904745 0.04650297619047615 1.9832248961354533 0.9150805270863828
0.3075 0.9784226190476182 1.9140624999999984 0.050223214285714246 2.0165399388570964 0.9882869692532935
0.3125 1.0193452380952372 1.9103422619047603 0.04650297619047615 2.0126205220663147 0.9150805270863828
0.3175 0.9765624999999992 2.0368303571428554 0.055803571428571376 2.1458806929528866 1.0980966325036594
0.3225 1.050967261904761 1.8340773809523794 0.057663690476190424 1.9322724778552933 1.1346998535871147
0.3275 1.050967261904761 2.0349702380952364 0.06696428571428566 2.143920984557496 1.3177159590043912
0.3325 1.1216517857142847 1.9642857142857126 0.04650297619047615 2.069452065532647 0.9150805270863828
0.3375 1.090029761904761 1.8824404761904745 0.0651041666666666 1.9832248961354533 1.281112737920936
0.3425 1.1197916666666656 2.020089285714284 0.06696428571428566 2.12824331739437 1.3177159590043912
0.34750000000000003 1.0007440476190466 1.9549851190476175 0.07626488095238089 2.0596535235556934 1.5007320644216677
