r 24g 48h
0.01 0.0 0.0024823443259814567
0.02 0.0 0.004964688651962913
0.03 0.002611272864958024 0.02730578758579603
0.04 0.009139455027353081 0.049646886519629126
0.05 0.01566763718974814 0.06702329680149932
0.06 0.015667637189748153 0.10798197818019342
0.07 0.014362000757269119 0.11667018332112836
0.08 0.030029637947017292 0.1452171430699153
0.09 0.033946547244454325 0.19858754607851664
0.1 0.03002963794701725 0.23582271096823818
0.11 0.03786345654189136 0.35249289428936703
0.12 0.03916909297437037 0.3624222715932929
0.13 0.04308600227180736 0.4505454951656341
0.14 0.04700291156924439 0.5001923816852631
0.15 0.0626705487589927 0.5101217589891904
0.16 0.058753639461555485 0.6044508433764842
0.17 0.0483085480017234 0.6181037371693823
0.18 0.06789309448890875 0.7136739937196702
0.19 0.09792273243592581 0.7360150926535013
0.2 0.07833818594874065 0.8365500378557502
0.21 0.08356073167865692 0.8489617594856599
0.22 0.09008891384105173 0.8861969243753793
0.23 0.08356073167865669 1.0388611004232389
0.24 0.09531145957096805 1.064925715846047
0.25 0.11620164249063196 1.146843078603432
0.26 0.11097909676071592 1.1729076940262373
0.27 0.11359036962567394 1.1542901115813764
0.28 0.10836782389575789 1.1716665218632465
0.29 0.12011855178806967 1.2250369248718547
0.3 0.12925800681542207 1.2362074743387645
0.31 0.09792273243592581 1.2175898918939034
0.32 0.11097909676071592 1.256066228946616
0.33 0.11228473319319493 1.2858543608583937
0.34 0.11750727892311097 1.2411721629907273
0.35000000000000003 0.120118551788069 1.288336705184375
0.36 0.11097909676071653 1.3106778041182154
0.37 0.1449256440051702 1.316883664933162
0.38 0.13056364324790107 1.2647544340875512
0.39 0.12534109751798503 1.2920602216733472
0.4 0.15145382616756523 1.2858543608583937
0.41000000000000003 0.16451019049235535 1.3007484268142824
0.42 0.12795237038294377 1.3441894525189653
0.43 0.12925800681542207 1.2722014670654955
0.44 0.15537073546500227 1.3230895257481152
0.45 0.1449256440051702 1.2647544340875512
0.46 0.15537073546500227 1.2362074743387645
0.47000000000000003 0.1684270997897924 1.2250369248718478
0.48 0.218041284223996 1.1890429321451235
0.49 0.1840947369795405 1.197731137286052
0.5 0.2062905563316837 1.1766312105152095
0.51 0.18017782768210347 1.1803547270041816
0.52 0.2297920121163059 1.1815958991671724
0.53 0.248070922171012 1.1009197085727753
0.54 0.25198783146844905 1.0636845436830533
0.55 0.248070922171012 1.0413434447492202
0.56 0.244154012873575 1.0686492323350163
0.5700000000000001 0.27287801438811327 0.9916965582295911
0.58 0.27810056011803236 0.9792848365996947
0.59 0.3068245616325675 0.9346026387320177
0.6 0.3159640166599206 0.906055678983231
0.61 0.3211865623898366 0.8824734078864072
0.62 0.37994020185139216 0.8477205873226668
0.63 0.3877740204462662 0.8204147997368708
0.64 0.368189473959081 0.7968325286400469
0.65 0.4491389327727797 0.7347739204905106
0.66 0.4347769320155106 0.6652682793630298
0.67 0.43347129558303155 0.660303590711067
0.68 0.45436147850269576 0.559768645508818
0.6900000000000001 0.493530571477066 0.6032096712134934
0.7000000000000001 0.502670026504419 0.518809964130124
0.71 0.567951848128376 0.4728865940994723
0.72 0.5444503923437475 0.43689260137273606
0.73 0.5810082124531598 0.43689260137273606
0.74 0.6306223968873622 0.39841626432002347
0.75 0.6293167604548832 0.3636634437562831
0.76 0.6358449426172782 0.35621641077833877
0.77 0.7024324006737077 0.3363576561704871
0.78 0.6554294891044634 0.314016557236654
0.79 0.6998211278087497 0.2953989747917931
0.8 0.7167944014309768 0.30905186858469114
0.81 0.7768536773250114 0.2842284253248765
0.8200000000000001 0.7507409486754312 0.29415780262880237
0.8300000000000001 0.7768536773250114 0.28298725316188583
0.84 0.7716311315951039 0.24947560476113895
0.85 0.7859931323523645 0.24451091610917328
0.86 0.8578031361387101 0.2209286450123495
0.87 0.9374469585199298 0.22713450582730313
0.88 0.8865271376532483 0.20603457905646075
0.89 0.9139455027353076 0.19238168526356272
0.9 0.9296131399250557 0.19362285742655347
0.91 0.9035004112754754 0.22837567799029385
0.92 1.0170907809011493 0.1998287182415071
0.93 1.0327584180908975 0.23706388313122892
0.9400000000000001 1.0079513258737962 0.23830505529421964
0.9500000000000001 1.0001175072789221 0.22961685015328454
0.96 1.0484260552806572 0.20975809554543523
0.97 0.9740047786293419 0.2680931872059971
0.98 1.0614824196054358 0.24326974394618256
0.99 0.981838597224216 0.2767813923469322
1.0 1.0001175072789221 0.2631284985540342
1.01 1.0510373281456036 0.25568146557608984
1.02 1.09542896684989 0.28050490883590434
1.03 1.1189304226345123 0.26188732639104345
1.04 1.0210076901985863 0.27802256450992296
1.05 1.0588711467404777 0.30036366344375603
1.06 1.1124022404721172 0.30656952425870965
1.07 1.075844420362705 0.3810398540381533
1.08 1.0575655103079986 0.3127753850736633
1.09 1.0693162382003099 0.35993992726731094
1.1 1.0653993289028727 0.4133103302759122
1.11 1.115013513337075 0.4257220519058195
1.12 1.0301471452259394 0.4133103302759122
1.1300000000000001 1.0562598738755196 0.4157926746018937
1.1400000000000001 0.9557258685746359 0.4257220519058195
1.1500000000000001 0.9753104150618209 0.4269632240688102
1.16 0.9583371414396152 0.4567513559805978
1.17 0.9400582313848878 0.5113629311521797
1.18 0.8617200454361471 0.4964688651962909
1.19 0.8904440469506854 0.5001923816852631
1.2 0.851274953976315 0.5572863011828366
1.21 0.8068833152720286 0.587074433094614
1.22 0.8121058610019446 0.5833509166056419
1.23 0.7690198587301373 0.6032096712134934
1.24 0.7481296758104732 0.6379624917772339
1.25 0.736378947918162 0.6404448361032153
1.26 0.6802365813215646 0.6205860814953637
1.27 0.6985154913762707 0.6578212463850855
1.28 0.6436787612121523 0.7223621988606034
1.29 0.5705631209933277 0.687609378296863
1.3 0.5875363946155548 0.7273268875125662
1.31 0.5535898473711006 0.7136739937196682
1.32 0.5953702132104288 0.764562052402288
1.33 0.5379222101813524 0.7062269607417239
1.34 0.489613662179629 0.7298092318385477
1.35 0.48700238931467094 0.7384974369794828
1.36 0.4687234792599649 0.709950477230696
1.37 0.4504445692052587 0.6751976566669556
1.3800000000000001 0.46350093353004884 0.6305154587992895
1.3900000000000001 0.4517502056377377 0.6404448361032153
1.4000000000000001 0.4125811126633674 0.6491330412441504
1.41 0.4243318405556879 0.5883156052576178
1.42 0.3864683840137872 0.5014335538482538
1.43 0.37341201968899707 0.49274534870731873
1.44 0.3877740204462662 0.4952276930333002
1.45 0.3943022026086613 0.4579925281435783
1.46 0.39038529331122424 0.3760751653861904
1.47 0.35121620033685386 0.4244808797428288
1.48 0.34207674530950083 0.3462870334744129
1.49 0.3851627475813082 0.31525772939964475
1.5 0.39169092974370323 0.2929166304658116
1.51 0.368189473959081 0.245752088272164
1.52 0.38255147471635015 0.259404982065062
1.53 0.3956078390411403 0.2631284985540342
1.54 0.3760232925539551 0.22961685015328454
1.55 0.40735856693345135 0.191140513100572
1.56 0.4204149312582415 0.2085169233824422
1.57 0.41780365839328343 0.18741699661159983
1.58 0.4465276599078217 0.1687994141667389
1.59 0.4504445692052587 0.16631706984075745
1.6 0.42955438628559456 0.14894065955888727
1.61 0.4465276599078217 0.12908190495103564
1.62 0.4439163870428637 0.11542901115813763
1.6300000000000001 0.5144207543967302 0.11418783899514692
1.6400000000000001 0.502670026504419 0.11294666683215619
1.6500000000000001 0.5535898473711006 0.12163487197309128
1.6600000000000001 0.5914533039129918 0.10674080601720255
1.67 0.5496729380736757 0.09557025655028813
1.68 0.5849251217505969 0.09929377303925818
1.69 0.5731743938582857 0.12039369981010055
1.7 0.6619576712668584 0.11294666683215619
1.71 0.6724027627266905 0.11915252764710982
1.72 0.6763196720241276 0.11294666683215619
1.73 0.7246282200258509 0.10301728952823037
1.74 0.6737083991591696 0.12908190495103564
1.75 0.7337676750532041 0.12411721629907273
1.76 0.728545129323288 0.11667018332112836
1.77 0.7468240393779941 0.14273479874393363
1.78 0.7951325873797176 0.11294666683215619
1.79 0.8121058610019446 0.122876044136082
1.8 0.731156402188246 0.13652893792898002
1.81 0.8199396795968187 0.13032307711402638
1.82 0.7781593137574905 0.10549963385421182
1.83 0.7951325873797176 0.11667018332112836
1.84 0.741601493648078 0.11791135548411909
1.85 0.6998211278087497 0.11667018332112836
1.86 0.6580407619694214 0.09929377303925818
1.87 0.6358449426172782 0.08067619059439728
1.8800000000000001 0.5940645767779499 0.07819384626841583
1.8900000000000001 0.5823138488856389 0.05709391949757346
1.9000000000000001 0.5731743938582857 0.04592337003065691
1.9100000000000001 0.502670026504419 0.03227047623775891
1.92 0.493530571477077 0.023582271096824342
1.93 0.45305584207021676 0.03475282056374037
1.94 0.4008303847710563 0.014894065955888727
1.95 0.4125811126633674 0.01985875460785164
1.96 0.36166129179668594 0.021099926770842364
1.97 0.4060529305009723 0.013652893792898002
1.98 0.3564387460667699 0.01985875460785164
1.99 0.29115692444281943 0.01861758244486091
2.0 0.24284837644109597 0.017376410281870185
